Var1,no,yes,percent
2018,363,11,2.941176470588235
2019,1003,87,7.9816513761467895
2020,969,28,2.8084252758274824
2021,690,36,4.958677685950414
2022,1502,109,6.765983860955928
2023,1057,88,7.685589519650655
2024,828,74,8.2039911308204
